"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Address Management API","3","0","Get addresses with various quantities","0"
"0","","0","User Management API","5","0","Get users with various locales","0"
"0","","0","Company Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","Place Management API","1","0","Verify default quantity for zero quantity","0"
"0","","0","Text Content Management API","1","0","Verify default quantity for string quantity","0"
"0","","0","Person Management API","1","0","Verify all persons have required fields","0"
"0","","0","Person Management API","1","0","Verify all persons have valid data formats","0"
"0","","0","Book Management API","1","0","Verify all books have required fields","0"
"0","","0","User Management API","1","0","Verify all users have valid data formats","0"
"0","","0","Credit Card Management API","1","0","Verify all credit cards have required fields","0"
"0","","0","Person Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","Place Management API","1","0","Get places with default quantity","0"
"0","","0","Place Management API","3","0","Get places with various quantities","0"
"0","","0","Credit Card Management API","3","0","Get credit cards with various quantities","0"
"0","","0","Person Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","Credit Card Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","Text Content Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","Image Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","Company Management API","1","0","Verify API accepts any seed value","0"
"0","","0","Person Management API","2","0","Get persons by gender","0"
"0","","0","Product Management API","1","0","Verify product data structure","0"
"0","","0","Address Management API","1","0","Verify default quantity returned for zero quantity","0"
"0","","0","User Management API","1","0","Get users with default quantity","0"
"0","","0","Product Management API","3","0","Get products with various quantities","0"
"0","","0","Image Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","Company Management API","3","0","Get companies with various quantities","0"
"0","","0","Book Management API","3","0","Get books with various quantities","0"
"0","","0","Place Management API","1","0","Verify all places have valid coordinates","0"
"0","","0","Product Management API","1","0","Get products with default quantity","0"
"0","","0","Place Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","Company Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","Text Content Management API","3","0","Get texts with various quantities","0"
"0","","0","Address Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","Book Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","Text Content Management API","1","0","Get texts with default quantity","0"
"0","","0","User Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","Person Management API","1","0","Verify API accepts any gender value","0"
"0","","0","Image Management API","3","0","Get images with various quantities","0"
"0","","0","Address Management API","1","0","Get addresses with default quantity","0"
"0","","0","Product Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","User Management API","1","0","Verify default quantity returned for invalid quantity","0"
"0","","0","Image Management API","1","0","Verify default quantity for non-numeric quantity","0"
"0","","0","User Management API","3","0","Get users with various quantities","0"
"0","","0","Company Management API","1","0","Get companies with default quantity","0"
"0","","0","Person Management API","2","0","Get persons with birthday boundary","0"
"0","","0","Place Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","Book Management API","1","0","Verify book data structure","0"
"0","","0","Person Management API","1","0","Get persons with birthday range","0"
"0","","0","Image Management API","1","0","Verify all images have required fields","0"
"0","","0","User Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","User Management API","1","0","Get users with seed parameter for consistency","0"
"0","","0","Address Management API","1","0","Verify address data structure","0"
"0","","0","Credit Card Management API","1","0","Verify default quantity for negative quantity","0"
"0","","0","Credit Card Management API","1","0","Verify credit card data structure","0"
"0","","0","Product Management API","1","0","Verify all products have required fields","0"
"0","","0","Book Management API","1","0","Get books with default quantity","0"
"0","","0","Product Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","User Management API","1","0","Verify user data structure","0"
"0","","0","Person Management API","1","0","Verify person address data","0"
"0","","0","Product Management API","1","0","Verify default quantity returned for invalid quantity","0"
"0","","0","Image Management API","1","0","Verify image data structure and required fields","0"
"0","","0","Text Content Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","Person Management API","1","0","Get persons with default quantity","0"
"0","","0","Credit Card Management API","1","0","Get credit cards with default quantity","0"
"0","","0","Credit Card Management API","1","0","Verify maximum quantity limit is capped at 1000","0"
"0","","0","Company Management API","1","0","Verify company data structure","0"
"0","","0","Company Management API","1","0","Verify all companies have required fields","0"
"0","","0","Address Management API","1","0","Verify all addresses have required fields and coordinates","0"
"0","","0","Text Content Management API","1","0","Verify text data structure and required fields","0"
"0","","0","Book Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","Address Management API","1","0","Invalid endpoint returns 404","0"
"0","","0","Person Management API","1","0","Verify person data structure","0"
"0","","0","Product Management API","1","0","Get products with price range and tax parameters","0"
"0","","0","Place Management API","1","0","Verify place data structure and coordinates","0"
"0","","0","Book Management API","1","0","Verify default quantity returned for invalid quantity","0"
"0","","0","Image Management API","1","0","Get images with default quantity","0"
